size,rc_t,ic_t,memory
1000,0.149333,0.007000,0.468750
2000,0.316667,0.008333,0.468750
4000,0.798333,0.016000,0.468750
8000,1.761667,0.027667,0.937500
16000,3.244667,0.042333,2.031250
32000,13.881333,0.059667,6.317708
64000,50.036667,0.177667,17.585938
