size,rc_t,ic_t,memory
1000,0.159333,0.007000,0.468750
2000,0.325333,0.013333,0.468750
4000,0.645000,0.047667,0.468750
8000,1.662667,0.105000,0.937500
16000,2.738333,0.183333,2.500000
32000,14.476333,1.384000,8.738281
64000,58.429333,10.844333,31.803385
