size,rc_t,ic_t,memory
1000,0.024667,0.001000,0.468750
2000,0.061333,0.004000,0.468750
4000,0.232333,0.034667,0.468750
8000,0.749667,0.118667,1.406250
16000,2.194000,0.369000,4.151042
32000,14.364667,3.769667,15.369792
64000,65.937667,26.490667,59.222656
